TransactionAmount,CustomerAge,TransactionDuration,AccountBalance,TransactionType,Channel,CustomerOccupation,Cluster
601.4,56,104,8458.29,Credit,Branch,Engineer,3
5.77,50,123,13988.12,Debit,Online,Doctor,1
201.33,42,186,2585.07,Credit,Branch,Engineer,3
298.42,56,225,3014.75,Debit,Branch,Retired,0
521.06,25,128,1951.42,Debit,Branch,Student,0
117.27999999999999,60,16,3665.77,Credit,Online,Engineer,4
189.12,32,103,977.01,Credit,Branch,Engineer,3
133.55,44,220,3846.2800000000007,Debit,ATM,Engineer,2
143.21,35,135,6374.82,Debit,Online,Engineer,1
24.77,62,55,5866.01,Debit,ATM,Retired,2
233.91999999999996,26,280,6537.62,Credit,Online,Student,4
232.12,37,51,6689.87,Debit,ATM,Engineer,2
162.63,22,113,634.17,Debit,Online,Student,1
91.53,44,69,14676.05,Debit,Branch,Doctor,0
120.29000000000002,19,77,1362.39,Debit,Branch,Student,0
174.25,50,67,10528.34,Debit,Online,Doctor,1
183.71,38,102,552.52,Debit,ATM,Engineer,2
345.39,58,80,6451.96,Credit,Online,Engineer,4
259.91,49,170,7176.86,Debit,Online,Doctor,1
154.71,34,157,1523.72,Debit,Online,Doctor,1
24.56,64,69,9869.93,Debit,Branch,Doctor,0
568.07,48,115,10556.81,Debit,ATM,Doctor,2
9.61,58,179,12883.91,Credit,Online,Doctor,4
392.96,24,100,791.65,Debit,Online,Student,1
716.93,60,34,4064.02,Credit,Online,Retired,4
223.85,53,55,2929.91,Debit,ATM,Engineer,2
230.65999999999997,21,135,618.05,Debit,Branch,Student,0
442.12,19,260,1375.8,Debit,Online,Student,1
644.17,29,72,1143.52,Debit,ATM,Engineer,2
508.68000000000006,51,127,7708.41,Credit,Branch,Engineer,3
858.63,27,185,1872.96,Credit,Branch,Student,3
25.36,57,78,201.04,Debit,ATM,Engineer,2
147.62,71,133,2115.8,Debit,Branch,Retired,0
115.02,37,175,7643.66,Debit,Branch,Doctor,0
383.37,30,24,8901.93,Debit,Branch,Engineer,0
98.54,20,167,9383.43,Credit,Online,Student,4
83.24,55,164,1181.31,Credit,Branch,Doctor,3
196.16,27,146,9418.86,Debit,Branch,Engineer,0
129.94,32,235,7954.919999999999,Debit,ATM,Engineer,2
306.9,46,51,9418.08,Debit,Online,Engineer,1
114.97999999999999,59,80,6144.68,Debit,Online,Retired,1
756.59,27,17,420.65,Debit,Branch,Student,0
503.76,22,35,447.82,Debit,Online,Student,1
143.03,63,147,7981.450000000001,Debit,ATM,Retired,2
245.54,25,180,985.0600000000001,Debit,ATM,Student,2
254.37000000000003,51,174,8849.26,Credit,Online,Engineer,4
213.76,78,282,3528.72,Credit,ATM,Retired,5
327.86,40,104,480.16,Debit,Online,Engineer,1
2.5,47,107,12145.27,Debit,Online,Doctor,1
300.08,68,47,13546.75,Credit,Online,Doctor,4
56.980000000000004,43,122,5688.37,Credit,ATM,Engineer,5
407.65,26,61,8346.64,Debit,Online,Engineer,1
115.83,39,167,6481.04,Debit,Branch,Engineer,0
53.57,69,121,1651.33,Debit,ATM,Retired,2
63.34000000000001,46,165,11174.94,Credit,Online,Doctor,4
317.87,27,91,145.5,Debit,Online,Student,1
331.65,41,61,4172.57,Debit,Online,Engineer,1
5.04,56,41,5558.36,Debit,ATM,Retired,2
214.54,70,247,11151.53,Credit,Online,Doctor,4
598.81,57,158,1415.52,Debit,Branch,Doctor,0
841.28,26,80,1103.64,Debit,Online,Student,1
38.15,26,107,303.68,Debit,Online,Student,1
124.72,33,105,6309.8,Debit,Branch,Engineer,0
302.45,78,40,5133.61,Credit,Branch,Retired,3
208.04,47,273,9344.98,Debit,Online,Engineer,1
5.77,23,254,1117.97,Credit,Branch,Student,3
381.33,56,75,11835.35,Debit,ATM,Doctor,2
16.16,50,123,14401.17,Debit,ATM,Doctor,2
486.08,18,68,1748.69,Debit,Online,Student,1
336.39,21,18,1000.46,Debit,Branch,Student,0
234.57,23,120,263.98,Debit,Online,Student,1
6.0,30,246,5442.76,Debit,Online,Doctor,1
227.13999999999996,18,294,341.94,Debit,ATM,Student,2
233.74,66,17,1066.59,Credit,Online,Retired,4
113.02,69,166,6077.96,Credit,Branch,Retired,3
45.85,20,91,1659.15,Debit,ATM,Student,2
514.95,41,142,421.93,Debit,Online,Doctor,1
415.5,66,141,10113.66,Debit,ATM,Doctor,2
265.76,54,91,4446.17,Debit,Online,Retired,1
69.4,80,113,6452.77,Debit,Online,Retired,1
332.93,35,293,2788.2,Credit,Branch,Engineer,3
267.9,20,160,596.1599999999999,Debit,Online,Student,1
496.03,61,265,12904.66,Debit,Branch,Doctor,0
376.26,37,245,9062.4,Debit,ATM,Engineer,2
83.02,36,171,9009.56,Credit,Online,Engineer,4
93.26,20,72,1152.2,Credit,Online,Student,4
803.37,68,129,12168.37,Credit,Branch,Doctor,3
35.76,23,122,611.8599999999999,Debit,Branch,Student,0
28.529999999999998,62,99,8670.53,Debit,Online,Doctor,1
139.53,53,177,10098.86,Credit,Online,Doctor,4
307.57,33,285,5307.74,Debit,Branch,Doctor,0
60.650000000000006,56,53,1047.28,Credit,Branch,Retired,3
74.86,70,125,6921.48,Debit,Branch,Doctor,0
117.97,51,137,1475.46,Debit,Branch,Retired,0
231.91,34,165,112.76,Debit,ATM,Engineer,2
126.21,75,268,5669.66,Debit,Branch,Retired,0
506.28,53,162,1309.95,Credit,Online,Retired,4
304.35,31,36,4057.1,Debit,Branch,Engineer,0
281.85,22,109,1585.98,Debit,ATM,Student,2
777.88,31,17,6825.55,Debit,Branch,Engineer,0
119.17999999999999,56,96,5516.5,Debit,Branch,Retired,0
177.19,76,43,5343.3,Debit,Online,Retired,1
260.88,22,36,903.05,Debit,Branch,Student,0
169.47,24,18,1806.16,Debit,Online,Student,1
73.23,26,14,787.7399999999999,Debit,Branch,Student,0
792.57,19,164,770.37,Debit,ATM,Student,2
237.06000000000003,71,45,1182.77,Debit,Online,Retired,1
34.17,54,53,726.55,Credit,Online,Engineer,4
740.25,41,123,14464.3,Debit,Online,Doctor,1
453.53999999999996,58,82,12046.3,Debit,ATM,Doctor,2
300.47,73,100,7885.64,Debit,Branch,Retired,0
110.93,19,201,1952.3499999999997,Credit,Branch,Student,3
201.69,59,299,7328.52,Debit,ATM,Doctor,2
399.21,59,109,3210.39,Debit,ATM,Engineer,2
630.36,62,52,1363.65,Debit,ATM,Retired,2
10.94,60,245,1241.99,Credit,ATM,Engineer,5
215.9,38,235,7873.280000000001,Debit,ATM,Doctor,2
226.37,49,141,9840.04,Credit,Branch,Doctor,3
444.89,43,101,10328.23,Credit,Branch,Doctor,3
280.57,25,24,293.24,Credit,Online,Student,4
488.54,52,132,7486.63,Debit,Branch,Engineer,0
3.3,50,131,11385.37,Credit,Branch,Doctor,3
199.39,69,165,7264.79,Debit,Branch,Retired,0
20.36,62,75,2762.48,Debit,Branch,Retired,0
113.64,62,32,6675.03,Debit,Online,Retired,1
493.11,53,236,7432.99,Debit,Branch,Retired,0
307.41,19,14,1057.0,Debit,ATM,Student,2
11.18,43,161,5956.89,Debit,Online,Doctor,1
313.82,59,151,7261.59,Debit,Branch,Engineer,0
51.0,64,107,4943.16,Debit,Branch,Retired,0
140.98,60,100,8127.4800000000005,Debit,Branch,Engineer,0
288.04,68,63,1748.02,Debit,ATM,Retired,2
800.55,31,107,9660.22,Debit,ATM,Engineer,2
485.54,46,143,6371.51,Debit,ATM,Engineer,2
521.15,54,214,9442.47,Debit,ATM,Doctor,2
321.79,63,61,5959.2,Credit,ATM,Retired,5
304.93,65,158,13531.22,Debit,ATM,Doctor,2
432.08,40,145,11500.62,Debit,ATM,Doctor,2
694.2,61,72,1389.37,Debit,ATM,Retired,2
116.86000000000001,55,171,6706.56,Debit,ATM,Engineer,2
386.81,57,149,7175.29,Credit,Online,Doctor,4
74.88,25,202,420.67,Debit,ATM,Student,2
195.76,75,99,7323.53,Debit,Branch,Retired,0
134.7,50,106,8395.85,Debit,ATM,Doctor,2
890.24,33,161,5140.93,Credit,Online,Engineer,4
361.27,63,180,7945.57,Debit,ATM,Doctor,2
131.56,44,42,5873.54,Debit,Branch,Doctor,0
485.51,76,37,3074.45,Credit,Online,Retired,4
547.87,64,131,6155.76,Debit,ATM,Retired,2
457.3,28,15,8318.29,Debit,Online,Engineer,1
506.24,58,64,230.09,Debit,ATM,Engineer,2
486.5899999999999,57,119,2513.56,Debit,Branch,Retired,0
163.68,41,292,10090.05,Debit,Branch,Doctor,0
581.65,22,176,480.19000000000005,Debit,ATM,Student,2
52.01,48,85,1120.88,Debit,ATM,Doctor,2
630.24,21,61,370.81,Debit,ATM,Student,2
523.74,43,159,13498.55,Debit,ATM,Doctor,2
705.6,40,123,14804.7,Debit,Branch,Doctor,0
217.5,46,35,3057.4,Credit,Branch,Engineer,3
91.48,51,141,14942.779999999999,Debit,ATM,Doctor,2
5.25,39,49,14143.32,Debit,ATM,Doctor,2
54.03,56,161,6736.3,Credit,ATM,Retired,5
736.73,48,10,3313.07,Debit,Branch,Engineer,0
368.91,54,14,829.7099999999999,Debit,Branch,Doctor,0
33.06,53,170,1540.87,Credit,Online,Retired,4
66.5,32,144,6820.23,Credit,Online,Engineer,4
177.08,35,85,13475.14,Debit,Online,Doctor,1
588.54,32,130,714.4499999999999,Debit,Branch,Engineer,0
173.5,21,282,1306.91,Debit,ATM,Student,2
78.33,56,189,7255.33,Credit,Online,Engineer,4
40.66,59,156,1153.84,Debit,Branch,Retired,0
97.22,77,55,6647.73,Credit,Branch,Retired,3
34.07,22,81,8709.77,Debit,Branch,Student,0
492.06,23,74,857.9,Debit,Online,Student,1
842.01,53,185,509.45000000000005,Credit,Online,Doctor,4
73.55,51,158,2812.06,Debit,ATM,Engineer,2
760.53,57,118,6179.91,Debit,Online,Engineer,1
273.08,26,134,6609.3,Credit,Branch,Engineer,3
371.69,67,143,3484.32,Debit,Branch,Retired,0
218.96,18,13,754.21,Debit,ATM,Student,2
227.38999999999996,18,65,751.09,Debit,Online,Student,1
237.99,39,86,8510.09,Credit,Branch,Doctor,3
186.6,58,13,1508.72,Debit,Online,Doctor,1
341.15,18,148,511.36999999999995,Debit,Online,Student,1
434.58,59,215,12648.32,Debit,ATM,Doctor,2
312.88,54,44,233.21,Credit,Branch,Engineer,3
75.15,23,154,1092.92,Debit,ATM,Student,2
23.3,59,161,6711.15,Debit,ATM,Engineer,2
47.38,25,61,459.37,Credit,Online,Student,4
512.81,79,30,6994.34,Debit,Branch,Retired,0
488.15000000000003,43,168,7071.09,Debit,Branch,Engineer,0
12.82,44,156,9045.19,Debit,ATM,Engineer,2
66.9,79,129,5238.71,Credit,Online,Retired,4
535.91,43,22,9642.12,Debit,Online,Engineer,1
270.72,26,53,6263.96,Credit,Online,Engineer,4
97.98,72,18,7460.329999999999,Debit,Branch,Retired,0
196.08,61,98,4233.82,Debit,Online,Retired,1
251.18000000000004,42,246,8303.9,Debit,ATM,Engineer,2
44.52,28,205,314.28,Debit,Online,Student,1
178.87,35,180,5241.23,Debit,Online,Doctor,1
386.68,46,128,6863.06,Debit,Branch,Doctor,0
167.14,76,20,3877.7299999999996,Debit,Online,Retired,1
345.22,69,253,4046.5800000000004,Debit,Branch,Retired,0
74.85,72,117,2409.73,Debit,ATM,Retired,2
671.73,58,53,5211.88,Debit,Branch,Engineer,0
255.04,45,151,6217.86,Debit,ATM,Engineer,2
45.77,25,109,5978.12,Debit,Online,Student,1
329.69,26,66,1671.66,Credit,Online,Student,4
362.04,58,198,8421.88,Credit,Branch,Doctor,3
11.92,53,52,14611.9,Debit,Branch,Doctor,0
47.42,64,28,8253.52,Debit,ATM,Doctor,2
35.99,63,129,4489.79,Debit,Branch,Retired,0
151.19,37,96,11903.82,Credit,Branch,Doctor,3
242.62,22,234,483.02000000000004,Credit,Online,Student,4
48.72,21,17,816.0799999999999,Debit,Branch,Student,0
43.46,25,80,578.06,Debit,ATM,Student,2
443.79,53,87,3133.85,Debit,ATM,Retired,2
365.14,68,57,5894.09,Debit,Online,Retired,1
757.41,22,37,9532.42,Debit,ATM,Student,2
20.54,51,72,5327.03,Debit,Branch,Engineer,0
475.36,34,105,2000.6,Debit,ATM,Engineer,2
34.74,56,24,6827.57,Debit,ATM,Retired,2
689.54,27,93,1633.76,Debit,Branch,Student,0
211.18,73,90,4069.1699999999996,Debit,ATM,Retired,2
211.36,51,286,7943.469999999999,Credit,Branch,Engineer,3
744.41,39,107,8842.47,Credit,Online,Engineer,4
61.43,24,170,1882.77,Debit,Online,Student,1
167.44,37,82,12526.71,Debit,Branch,Doctor,0
361.46,21,83,4737.84,Debit,Online,Student,1
378.85,78,126,2300.53,Debit,Branch,Retired,0
241.11,30,55,12385.05,Debit,Branch,Doctor,0
131.93,31,13,4547.06,Credit,Branch,Engineer,3
20.28,36,213,2047.83,Debit,Online,Engineer,1
415.88,70,170,10008.33,Debit,Branch,Doctor,0
49.99,62,139,2299.64,Debit,ATM,Retired,2
100.66,50,144,14473.33,Debit,Branch,Doctor,0
485.54,19,148,1533.32,Debit,Online,Student,1
321.15,46,179,7005.05,Debit,Branch,Doctor,0
711.3,21,51,955.4,Debit,Branch,Student,0
12.23,42,139,7844.880000000001,Debit,ATM,Engineer,2
350.94,20,64,221.56,Debit,ATM,Student,2
301.85,54,25,6586.19,Debit,Online,Engineer,1
29.34,65,30,3944.82,Debit,Online,Retired,1
231.71,27,148,1127.98,Debit,Branch,Student,0
179.43,58,244,2626.63,Debit,ATM,Retired,2
36.71,48,55,6459.38,Debit,Branch,Doctor,0
138.12,53,281,1649.69,Credit,Branch,Doctor,3
233.24,33,72,6939.23,Debit,ATM,Engineer,2
609.14,39,177,9033.87,Debit,ATM,Engineer,2
436.64,31,111,14365.18,Debit,Branch,Doctor,0
870.43,29,55,10115.18,Debit,Branch,Doctor,0
354.4,74,128,7358.65,Debit,ATM,Retired,2
22.63,53,112,4438.03,Debit,Online,Engineer,1
182.19,26,53,1176.1,Debit,Branch,Student,0
126.81,26,290,5427.98,Debit,Branch,Engineer,0
288.17,37,50,3653.11,Debit,Online,Engineer,1
118.76999999999998,55,123,2104.82,Debit,Branch,Engineer,0
651.82,21,166,1802.77,Debit,ATM,Student,2
66.65,37,33,3559.96,Debit,ATM,Engineer,2
98.53,69,166,3564.8,Debit,Branch,Retired,0
138.95,71,30,6752.92,Debit,Online,Retired,1
33.89,26,177,1444.75,Debit,Branch,Student,0
23.71,58,164,10788.89,Debit,Branch,Doctor,0
26.06,65,283,12893.63,Debit,ATM,Doctor,2
17.07,27,44,2798.15,Debit,Branch,Engineer,0
703.89,46,61,3583.67,Debit,Online,Engineer,1
26.55,77,228,3085.38,Debit,ATM,Retired,2
147.4,42,259,6797.71,Debit,Branch,Engineer,0
202.11,27,18,746.47,Debit,ATM,Student,2
308.42,75,39,5427.81,Debit,Branch,Retired,0
11.18,53,144,7467.300000000001,Debit,ATM,Engineer,2
294.15,38,136,6362.16,Debit,Online,Engineer,1
29.58,54,121,8345.26,Debit,Branch,Engineer,0
139.45,27,30,1305.76,Debit,Online,Student,1
432.63,29,137,13648.36,Debit,ATM,Doctor,2
131.43,43,65,1337.5,Debit,Online,Doctor,1
516.72,42,128,2015.6900000000003,Debit,ATM,Engineer,2
121.82,69,123,8354.54,Debit,Online,Doctor,1
374.5,26,178,1671.51,Credit,Branch,Student,3
166.13,68,227,11822.53,Debit,ATM,Doctor,2
626.9,23,146,587.1099999999999,Debit,ATM,Student,2
466.85,56,165,5422.53,Debit,Branch,Retired,0
788.84,58,231,1913.73,Debit,Online,Retired,1
873.65,37,59,12139.83,Credit,Online,Doctor,4
525.28,69,134,4693.6,Debit,ATM,Retired,2
110.17,30,137,464.2,Debit,ATM,Engineer,2
632.69,80,75,4363.74,Debit,ATM,Retired,2
124.34999999999998,72,90,3319.76,Debit,ATM,Retired,2
43.85,62,122,4356.98,Debit,ATM,Retired,2
283.81,28,29,1519.35,Debit,Branch,Student,0
168.53,71,112,5962.58,Debit,ATM,Retired,2
218.59,40,123,6699.23,Credit,Branch,Engineer,3
132.84,21,143,822.73,Debit,ATM,Student,2
157.37,42,289,13964.31,Credit,Branch,Doctor,3
144.77,20,159,867.3199999999999,Debit,Online,Student,1
643.22,64,93,1035.86,Debit,ATM,Doctor,2
208.07,32,36,8478.9,Debit,Online,Doctor,1
94.3,57,57,11088.95,Debit,Branch,Doctor,0
295.5,59,36,6280.66,Debit,ATM,Retired,2
30.23,44,99,481.13,Debit,ATM,Doctor,2
112.05,26,159,1122.88,Credit,ATM,Student,5
180.24,58,144,8431.23,Debit,Branch,Engineer,0
13.71,38,148,8342.79,Credit,Online,Engineer,4
96.54,58,95,7182.22,Debit,Branch,Retired,0
79.35,67,70,1692.15,Debit,Online,Retired,1
101.04,27,160,1695.57,Debit,ATM,Student,2
74.42,49,68,6264.21,Debit,Online,Engineer,1
39.66,52,169,8497.34,Debit,Branch,Engineer,0
99.36,40,45,1272.12,Debit,ATM,Doctor,2
123.85,56,244,3959.62,Debit,Online,Engineer,1
426.93,19,247,476.18999999999994,Debit,ATM,Student,2
133.73,25,123,1872.2200000000003,Credit,Online,Student,4
222.39,49,73,3117.39,Debit,Online,Engineer,1
215.94,22,140,1841.69,Credit,Online,Student,4
6.3,80,283,7697.680000000001,Debit,Branch,Retired,0
826.23,29,209,7580.590000000001,Debit,ATM,Doctor,2
416.37,35,67,7936.91,Debit,Online,Engineer,1
131.46,67,258,6642.33,Debit,Branch,Retired,0
202.86,61,149,7642.250000000001,Credit,Branch,Doctor,3
268.39,26,171,136.74,Debit,ATM,Student,2
194.85,23,130,319.84,Debit,Online,Student,1
137.35,40,220,12662.66,Credit,Online,Doctor,4
712.75,44,25,8126.0599999999995,Debit,Branch,Doctor,0
353.82,42,143,705.7499999999999,Debit,ATM,Doctor,2
507.24999999999994,73,143,5331.57,Debit,Branch,Retired,0
212.74,27,128,7645.469999999999,Debit,Branch,Engineer,0
364.42,51,146,8119.73,Debit,ATM,Engineer,2
195.12,46,144,6101.15,Debit,ATM,Doctor,2
230.61,80,204,2561.42,Debit,Branch,Retired,0
739.28,58,47,11905.64,Credit,Branch,Doctor,3
390.35,64,61,7095.88,Credit,ATM,Doctor,5
242.03,58,123,4382.73,Debit,Online,Engineer,1
242.39000000000001,18,271,1328.73,Credit,ATM,Student,5
135.03,23,180,1278.0,Debit,ATM,Student,2
83.5,61,91,1749.79,Debit,Branch,Retired,0
193.54,80,267,2929.51,Debit,Branch,Retired,0
617.36,29,61,8926.38,Debit,Branch,Engineer,0
775.23,59,37,5977.59,Credit,Online,Doctor,4
266.57,72,100,7676.92,Debit,ATM,Retired,2
153.4,45,144,4657.7,Debit,ATM,Engineer,2
5.12,34,90,3293.01,Debit,Branch,Engineer,0
119.11000000000001,57,131,7998.25,Debit,ATM,Engineer,2
119.71999999999998,30,123,3435.34,Debit,Branch,Engineer,0
107.4,58,32,344.07,Debit,Online,Doctor,1
115.92,53,57,3897.17,Debit,ATM,Retired,2
438.04,67,247,5358.95,Debit,ATM,Retired,2
677.29,27,287,627.79,Debit,Online,Engineer,1
296.0,35,247,7418.82,Debit,Branch,Doctor,0
299.09,36,84,5615.26,Credit,Branch,Engineer,3
461.5199999999999,24,44,1995.1799999999998,Credit,Branch,Student,3
100.52,50,110,453.39,Debit,ATM,Engineer,2
85.35,66,166,2173.76,Debit,ATM,Retired,2
79.76,39,170,6452.14,Debit,Branch,Engineer,0
778.49,75,107,7713.67,Credit,Online,Retired,4
386.38,42,135,5528.36,Debit,Online,Engineer,1
165.25,35,106,9939.94,Debit,Online,Doctor,1
14.29,34,150,7016.99,Debit,ATM,Engineer,2
232.79,55,145,2661.3,Credit,Branch,Retired,3
92.29,54,115,2026.3199999999997,Debit,Branch,Engineer,0
293.97,68,153,7371.85,Debit,Branch,Retired,0
136.32,19,113,264.83,Debit,Online,Student,1
251.05999999999997,36,34,10001.66,Debit,Online,Doctor,1
50.17,77,35,7752.140000000001,Credit,ATM,Retired,5
21.4,34,258,9594.11,Debit,Branch,Engineer,0
73.28,21,21,1329.41,Debit,Branch,Student,0
70.23,38,260,11624.93,Debit,ATM,Doctor,2
689.29,22,100,168.84,Debit,ATM,Student,2
745.03,28,231,160.57,Debit,Online,Student,1
54.61,58,160,7135.64,Debit,ATM,Engineer,2
54.05,27,146,469.13999999999993,Debit,Branch,Student,0
107.47,67,144,7517.499999999999,Debit,Online,Retired,1
611.11,20,282,919.84,Debit,ATM,Student,2
219.63,48,44,8013.63,Debit,ATM,Doctor,2
188.7,54,123,5077.06,Debit,Branch,Retired,0
93.52,51,97,2791.2,Debit,Online,Engineer,1
275.92,62,107,1777.38,Credit,Branch,Retired,3
376.79,68,265,7749.14,Debit,Branch,Retired,0
8.98,66,56,4516.76,Debit,Online,Retired,1
697.32,68,91,2016.0200000000002,Debit,Online,Retired,1
17.45,18,88,1959.52,Debit,ATM,Student,2
302.16,80,138,3876.61,Debit,Online,Retired,1
442.74,23,136,1790.27,Debit,Branch,Student,0
623.9,27,249,711.4699999999999,Debit,ATM,Student,2
445.41,35,235,12154.66,Debit,ATM,Doctor,2
63.41,26,36,1546.22,Debit,ATM,Student,2
346.85,44,88,7208.15,Debit,ATM,Doctor,2
71.95,59,53,9267.32,Credit,Online,Engineer,4
7.499999999999999,63,36,6485.78,Debit,Online,Retired,1
206.46,65,279,3984.38,Debit,ATM,Retired,2
423.11,60,47,412.78,Debit,ATM,Engineer,2
35.84,54,172,4795.65,Credit,Online,Retired,4
88.6,28,105,246.57,Credit,Branch,Student,3
53.81,55,37,2564.62,Credit,ATM,Engineer,5
22.46,54,78,6631.5,Debit,Online,Retired,1
334.89,21,260,1661.68,Debit,Online,Student,1
319.27,54,59,5504.01,Credit,Online,Retired,4
144.3,18,88,312.19,Debit,ATM,Student,2
348.7,69,149,2445.58,Credit,Branch,Retired,3
366.21,62,181,10862.99,Debit,ATM,Doctor,2
99.11,55,12,5414.87,Debit,Online,Retired,1
539.35,55,127,3919.4399999999996,Debit,ATM,Retired,2
188.99,58,91,7315.34,Debit,Branch,Engineer,0
710.14,26,227,465.62999999999994,Debit,ATM,Student,2
308.68,53,170,9992.36,Debit,Online,Doctor,1
166.68,57,139,5141.19,Debit,ATM,Retired,2
0.99,45,133,4317.85,Debit,ATM,Engineer,2
505.19,30,128,5326.68,Debit,ATM,Doctor,2
66.58,23,79,1636.32,Debit,Branch,Student,0
223.43,77,178,7932.410000000001,Debit,Branch,Retired,0
659.95,60,114,3927.6900000000005,Debit,Online,Engineer,1
634.86,27,45,588.4999999999999,Debit,ATM,Student,2
286.5,30,60,8517.95,Credit,Branch,Engineer,3
322.96,76,168,2401.59,Credit,Branch,Retired,3
654.48,19,114,6776.41,Debit,Branch,Student,0
157.97,48,140,5529.92,Debit,Branch,Doctor,0
120.89999999999999,40,52,9009.42,Debit,Branch,Doctor,0
254.77,57,57,5994.87,Debit,Branch,Engineer,0
795.96,65,119,5468.58,Debit,Online,Retired,1
149.25,39,142,5677.52,Debit,ATM,Engineer,2
3.42,43,158,14180.21,Credit,Online,Doctor,4
68.19,40,189,9895.1,Credit,Online,Doctor,4
493.41999999999996,39,111,2232.84,Debit,Branch,Engineer,0
37.57,57,42,7739.54,Debit,ATM,Retired,2
127.0,19,68,431.16,Credit,Branch,Student,3
96.89,59,53,6044.93,Debit,ATM,Retired,2
448.33,25,161,922.19,Debit,ATM,Student,2
8.65,48,273,10778.35,Debit,Online,Doctor,1
65.57,41,82,7513.79,Debit,Online,Engineer,1
539.81,46,177,2051.25,Debit,Online,Engineer,1
363.53,63,142,1038.91,Debit,ATM,Retired,2
64.9,51,72,6854.61,Credit,Branch,Retired,3
358.18,18,157,619.86,Debit,ATM,Student,2
167.2,30,84,11320.83,Debit,Branch,Doctor,0
121.91,60,133,14510.8,Debit,Branch,Doctor,0
137.57,54,70,5103.67,Debit,Online,Engineer,1
534.62,55,45,13793.53,Debit,Online,Doctor,1
463.91999999999996,50,199,2403.39,Debit,Online,Engineer,1
320.14,60,96,3075.97,Debit,Online,Retired,1
214.93,28,52,7835.4,Debit,Online,Student,1
660.02,20,84,414.43,Debit,Branch,Student,0
345.81,40,135,6116.8,Debit,Branch,Engineer,0
